job_id,job_title,category,industry,company,company_size,location,work_mode,experience_level,required_experience_years,salary_range,skills,job_description,posted_date
1,Clinical Data Coordinator,Healthcare,Pharma,BioMedix,MNC,Surat,On-site,Mid,5,"₹45,100/mo - ₹147,000/mo","medical terminology, quality assurance, healthcare analytics, clinical trials, cerner, pharmacovigilance, data entry, ehr, icd-10, time management, empathy, communication","As a Mid Clinical Data Coordinator in the Pharma domain at BioMedix, you will deliver high-quality outcomes. Ensure compliance with healthcare regulations and standards. Analyse health data to support operational decisions. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-19
2,Procurement Specialist,Operations & Supply Chain,Logistics,RouteMaster,SME,Ahmedabad,On-site,Senior,7,"₹112,000/mo - ₹374,500/mo","supply chain ai, python, logistics, kpi tracking, process improvement, power bi, warehouse management, sustainability ops, supply chain analytics, digital twin, excel, communication, attention to detail, problem solving, ownership, time management, stakeholder management","As a Senior Procurement Specialist in the Logistics domain at RouteMaster, you will contribute to a high-performing team. Identify process improvement opportunities. Track inventory levels and manage procurement processes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-13
3,FP&A Analyst,Finance & Accounting,Manufacturing,SteelWorks,MNC,Jaipur,Remote,Mid,6,"₹51,000/mo - ₹167,000/mo","budgeting, ifrs, blockchain basics, cash flow, bloomberg terminal, sql, esg reporting, financial modeling, ind as, risk management, gst, variance analysis, stakeholder management, attention to detail, communication, problem solving, ownership","As a Mid FP&A Analyst in the Manufacturing domain at SteelWorks, you will build scalable solutions. Analyse financial data to identify trends and risks. Support budgeting, forecasting and financial planning. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-11
4,Demand Planning Analyst,Operations & Supply Chain,Retail,DailyNeeds,Startup,Chennai,Hybrid,Mid,3,"₹49,800/mo - ₹150,700/mo","oracle, sap, sustainability ops, process improvement, forecasting, supply chain ai, six sigma, inventory management, kpi tracking, power bi, lean, tableau, attention to detail, ownership, problem solving, communication, time management, stakeholder management","As a Mid Demand Planning Analyst in the Retail domain at DailyNeeds, you will collaborate with cross-functional teams. Monitor and optimise supply chain operations. Track inventory levels and manage procurement processes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-08
5,Credit Analyst,Finance & Accounting,Consulting,PrimePath,MNC,Jaipur,On-site,Junior,1,"₹22,800/mo - ₹70,000/mo","audit, bookkeeping, gst, p&l management, accounting, forecasting, budgeting, problem solving, stakeholder management, critical thinking, attention to detail","As a Junior Credit Analyst in the Consulting domain at PrimePath, you will contribute to a high-performing team. Analyse financial data to identify trends and risks. Prepare financial reports and variance analysis. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-18
6,FP&A Analyst,Finance & Accounting,Manufacturing,PrecisionMfg,Startup,Ahmedabad,Remote,Senior,8,"₹114,800/mo - ₹384,700/mo","accounting, bloomberg terminal, blockchain basics, python automation, gst, esg reporting, cash flow, excel, risk management, power bi, sap, taxation, communication, attention to detail, ownership","As a Senior FP&A Analyst in the Manufacturing domain at PrecisionMfg, you will deliver high-quality outcomes. Support budgeting, forecasting and financial planning. Analyse financial data to identify trends and risks. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-11
7,Public Health Analyst,Healthcare,Pharma,ClinTech,MNC,Gurugram,Hybrid,Fresher,0,"₹12,400/mo - ₹37,400/mo","icd-10, sql, clinical documentation, patient coordination, hipaa, cerner, medical coding, problem solving, communication, time management, teamwork, attention to detail","As a Fresher Public Health Analyst in the Pharma domain at ClinTech, you will build scalable solutions. Maintain accurate clinical documentation and patient records. Analyse health data to support operational decisions. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-19
8,Payroll Specialist,Human Resources,Consulting,InsightCo,Startup,Remote,Remote,Junior,2,"₹21,500/mo - ₹70,400/mo","compliance, training, sap successfactors, payroll, hr policies, interviewing, performance management, ai hiring tools, conflict resolution, onboarding, recruitment, workday, stakeholder management, time management, empathy, communication, attention to detail, problem solving","As a Junior Payroll Specialist in the Consulting domain at InsightCo, you will deliver high-quality outcomes. Maintain HR data, reports and compliance documentation. Coordinate training and development programmes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-25
9,Employee Relations Specialist,Human Resources,Technology,CodeCraft,MNC,Gurugram,On-site,Mid,4,"₹46,100/mo - ₹152,800/mo","excel, ai hiring tools, linkedin recruiter, compliance, workday, onboarding, payroll, training, hr policies, conflict resolution, people analytics, problem solving, stakeholder management, communication, time management, attention to detail, empathy","As a Mid Employee Relations Specialist in the Technology domain at CodeCraft, you will contribute to a high-performing team. Maintain HR data, reports and compliance documentation. Partner with teams to improve engagement and performance. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-10
10,Email Marketing Specialist,Marketing & Sales,E-commerce,BazaarPro,Startup,Hyderabad,Remote,Senior,6,"₹105,200/mo - ₹360,400/mo","google analytics, ai content tools, tiktok ads, content marketing, meta ads, google ads, influencer marketing, email marketing, problem solving, presentation, communication","As a Senior Email Marketing Specialist in the E-commerce domain at BazaarPro, you will contribute to a high-performing team. Analyse campaign performance and optimize for ROI. Generate and nurture leads through multiple channels. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-06
11,Compensation Analyst,Human Resources,Healthcare,ClinPro,SME,Kolkata,Hybrid,Junior,3,"₹21,700/mo - ₹66,900/mo","labour law, screening, compliance, dei frameworks, ai hiring tools, conflict resolution, workday, problem solving, communication, stakeholder management, attention to detail","As a Junior Compensation Analyst in the Healthcare domain at ClinPro, you will deliver high-quality outcomes. Partner with teams to improve engagement and performance. Coordinate training and development programmes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-04
12,Manufacturing Engineer,Mechanical & Manufacturing,Manufacturing,PrecisionMfg,Startup,Surat,On-site,Junior,1,"₹23,400/mo - ₹69,700/mo","solidworks, ansys, root cause analysis, project management, generative design, quality control, catia, cobots, python, teamwork, problem solving, time management, ownership, communication","As a Junior Manufacturing Engineer in the Manufacturing domain at PrecisionMfg, you will contribute to a high-performing team. Ensure quality standards are met across production lines. Design and develop mechanical components and systems. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-22
13,Digital Marketing Specialist,Marketing & Sales,Telecom,LinkTech,Startup,Jaipur,On-site,Senior,8,"₹118,200/mo - ₹368,700/mo","data analytics, figma, ai content tools, email marketing, conversion optimization, tiktok ads, meta ads, canva, storytelling, stakeholder management, problem solving, communication","As a Senior Digital Marketing Specialist in the Telecom domain at LinkTech, you will collaborate with cross-functional teams. Analyse campaign performance and optimize for ROI. Manage social media presence and content calendar. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-07
14,Industrial Engineer,Mechanical & Manufacturing,Automobile,AutoDrive,Startup,Ahmedabad,On-site,Junior,3,"₹22,900/mo - ₹68,700/mo","matlab, quality control, cnc, autocad, solidworks, fmea, generative design, 3d printing, catia, iot, plc programming, teamwork, attention to detail, ownership, time management, communication","As a Junior Industrial Engineer in the Automobile domain at AutoDrive, you will build scalable solutions. Support manufacturing process optimisation. Design and develop mechanical components and systems. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-19
15,Social Media Manager,Marketing & Sales,Technology,TechNova,SME,Kolkata,Hybrid,Mid,3,"₹53,200/mo - ₹164,400/mo","crm, salesforce, ai content tools, data analytics, lead generation, sem, meta ads, tiktok ads, ga4, storytelling, communication, presentation","As a Mid Social Media Manager in the Technology domain at TechNova, you will collaborate with cross-functional teams. Generate and nurture leads through multiple channels. Plan and execute digital marketing campaigns. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-25
16,Medical Billing Specialist,Healthcare,Education,SkillFirst,SME,Chennai,Hybrid,Senior,8,"₹113,600/mo - ₹361,800/mo","icd-10, healthcare analytics, regulatory compliance, ehr, telemedicine, lab management, digital health, sql, communication, time management, problem solving, attention to detail, teamwork","As a Senior Medical Billing Specialist in the Education domain at SkillFirst, you will deliver high-quality outcomes. Analyse health data to support operational decisions. Ensure compliance with healthcare regulations and standards. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-17
17,Import/Export Specialist,Operations & Supply Chain,E-commerce,BazaarPro,Startup,Remote,Hybrid,Junior,2,"₹21,700/mo - ₹67,100/mo","tableau, forecasting, digital twin, process improvement, supply chain analytics, vendor management, logistics, supply chain ai, erp, six sigma, kpi tracking, communication, problem solving, time management, stakeholder management, ownership, attention to detail","As a Junior Import/Export Specialist in the E-commerce domain at BazaarPro, you will contribute to a high-performing team. Track inventory levels and manage procurement processes. Identify process improvement opportunities. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-05
18,ML Engineer,Software Engineering,E-commerce,QuickCart,MNC,Chennai,Hybrid,Junior,3,"₹28,600/mo - ₹86,800/mo","linux, vector databases, microservices, kubernetes, docker, llm apis, webassembly, graphql, communication, mentorship, attention to detail, teamwork, critical thinking, problem solving","As a Junior ML Engineer in the E-commerce domain at QuickCart, you will drive measurable impact. Build and maintain reliable APIs and services. Optimize application performance and scalability. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-22
19,Procurement Specialist,Operations & Supply Chain,Retail,MegaMart,SME,Mumbai,Remote,Junior,2,"₹22,200/mo - ₹70,000/mo","excel, forecasting, lean, digital twin, vendor management, supply chain analytics, erp, six sigma, logistics, oracle, sustainability ops, supply chain ai, stakeholder management, attention to detail, communication, ownership, time management","As a Junior Procurement Specialist in the Retail domain at MegaMart, you will collaborate with cross-functional teams. Monitor and optimise supply chain operations. Identify process improvement opportunities. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-19
20,Treasury Analyst,Finance & Accounting,BFSI,SecureFinance,MNC,Chennai,Hybrid,Fresher,0,"₹14,000/mo - ₹37,300/mo","gst, sql, tally, python automation, cash flow, p&l management, ifrs, variance analysis, bloomberg terminal, critical thinking, problem solving, ownership, communication","As a Fresher Treasury Analyst in the BFSI domain at SecureFinance, you will drive measurable impact. Ensure compliance with accounting standards and regulations. Analyse financial data to identify trends and risks. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-10
